turn,timestamp,frame,energy_avg,energy_peak,volume,curvature,sway,left_sync,right_sync,correlation,torque,jerk,ballet_moves,cultural_refs,emotion_keywords,ai_sees_full,ai_says_full,energy_level
1,0.0,0,4.11,9.45,0.0554,3.27,0.1,7.789,5.371,0.0,9.965,203089.04,pirouette,睡美人/奧蘿拉,"優雅, 力量",在舞者的 pirouette 中，彷彿化身為《睡美人》中奧蘿拉，旋轉如玫瑰的芳香，凝聚著每一次力量的釋放與優雅的延展。,親愛的舞者，願你的旋轉在這古典的時空中喚醒每一個沉睡的夢想，是否感受到了那份來自靈魂深處的優雅呢？,低
2,2.0,60,27.35,219.78,0.0617,6.16,0.163,16.698,5.225,-0.087,20.68,2202947.31,arabesque,天鵝湖/奧黛特,"輕盈, 力量, 掙扎, 純潔",在舞者的 arabesque 中，腿如白天鵝的翅膀輕盈延展，映照出《天鵝湖》中奧黛特的掙扎與渴望，彷彿在月光下訴說著悲劇的純潔與力量。,親愛的舞者，願你的每一個 plié 都能帶來力量與謙遜，在這幽靜的劇院中感受自由的召喚，是否聽見心靈的低語？,極高
3,4.0,120,3.92,7.43,0.0411,7.34,0.062,5.111,9.319,0.159,7.699,184724.58,arabesque,天鵝湖/奧黛特,掙扎,在舞者的 arabesque 中，身體如同白天鵝在湖面上翩翩起舞，臂膀柔美如詩，流露出《天鵝湖》中奧黛特的無聲掙扎與渴望自由的靈魂。,親愛的舞者，願你在每一次的 pirouette 中找到心靈的寧靜，是否感受到那些隱藏於舞動中的愛與重生呢？,低
4,6.0,180,17.04,29.89,0.0776,6.82,0.071,12.505,12.539,0.334,13.739,174909.88,fouetté,N/A,"輕盈, 力量, 控制",在舞者的 fouetté 中，她如風中飄舞的葉子，輕盈旋轉，展現出無懈可擊的力量與控制，彷彿在追尋著夢想的彼岸。,親愛的舞者，願你的每一次旋轉都如《睡美人》中奧蘿拉的優雅，喚醒沉睡的心靈，是否在這旋轉中感受到那份無窮的可能性？,高
5,8.0,240,20.42,48.31,0.0165,7.47,0.121,15.85,14.535,0.269,14.077,518148.52,arabesque,天鵝湖/奧黛特,"輕盈, 掙扎",在舞者的 arabesque 中，身姿如同《天鵝湖》中的奧黛特，臂膀輕盈展翅，流露出內心深處對自由的渴望與詛咒的掙扎。,親愛的舞者，願你在每一次的 plié 中沉澱力量，讓每個動作都如《睡美人》中的奧蘿拉般充滿愛與重生，是否感受到那份舞蹈的魔力呢？,極高
6,10.0,300,2.28,5.58,0.031,7.21,0.088,5.42,6.309,0.227,8.514,49215.98,jeté,胡桃夾子/糖梅仙子,"輕盈, 夢幻",在舞者的 jeté 中，身形如同《胡桃夾子》中的糖梅仙子，輕盈躍起，宛如雪花般灑下夢幻的魔法，帶領觀眾進入奇妙的童話世界。,親愛的舞者，願你的每一次飛躍都能喚醒心中那份純真與勇氣，是否感受到這場夢幻冒險的魅力呢？,低
7,12.0,360,4.75,6.13,0.0385,7.98,0.061,8.495,7.487,-0.14,9.086,69034.8,"jeté, plié",天鵝湖/奧黛特,"優雅, 力量, 掙扎",在舞者的 plié 中，她如同白天鵝般蓄積力量，隨後以優雅的 jeté 躍起，彷彿在《天鵝湖》中展現詛咒與自由之間的掙扎與渴望。,親愛的舞者，願你的每一個動作都流淌著內心的韻律，是否感受到那份優雅與力量交融的美好呢？,低
8,14.0,420,3.32,5.01,0.0811,8.1,0.122,8.0,5.764,0.451,10.085,57312.79,fouetté,N/A,"輕盈, 力量, 控制",在舞者的 fouetté 旋轉中，她如風中之葉般輕盈，展現出堅定的力量與控制，仿佛在追尋那永恆的夢想與自由。,親愛的舞者，願你的每一次旋轉都能喚醒沉睡的靈魂，是否感受到那份在舞蹈中綻放的愛與重生呢？,低
9,16.0,480,4.05,7.88,0.0494,7.46,0.134,9.195,6.874,0.256,12.526,114930.29,arabesque,天鵝湖/奧黛特,"掙扎, 純潔",在舞者的 arabesque 中，她的身姿如同《天鵝湖》中的奧黛特，展現出純潔與掙扎，臂膀如翅膀般延展，訴說著渴望自由的心聲。,親愛的舞者，願你的每一次動作都充滿力量與優雅，是否能感受到那份在舞蹈中流淌的情感與故事呢？,低
10,18.0,540,3.11,5.08,0.0781,6.47,0.136,6.152,5.563,0.461,9.747,52922.38,pirouette,睡美人/奧蘿拉,N/A,在舞者的 pirouette 中，她如同《睡美人》中的奧蘿拉，旋轉之間喚醒沉睡的宮殿，每一圈都如玫瑰盛開，散發出愛與重生的芬芳。,親愛的舞者，願你的每一次旋轉都能帶來夢想的實現，是否感受到那份在舞蹈中綻放的純真與力量呢？,低
